node1	node2	score	edge_type
AT1G01060	AT1G04400	1	AT-UU-RE-00-AA-01
AT4G21330	AT3G28470	1	AT-UU-RE-00-AA-01
AT4G24470	AT1G24260	1	AT-UU-RE-00-AA-01
AT4G24470	AT1G10550	1	AT-UU-RE-00-AA-01
AT4G24240	AT2G14610	1	AT-UU-RE-00-AA-01
AT4G24020	AT1G08100	1	AT-UU-RE-00-AA-01
AT4G23550	AT2G19190	1	AT-UU-RE-00-AA-01
AT4G21750	AT2G42840	1	AT-UU-RE-00-AA-01
AT4G21330	AT5G22260	1	AT-UU-RE-00-AA-01
AT4G21330	AT3G51590	1	AT-UU-RE-00-AA-01
AT4G21330	AT3G23770	1	AT-UU-RE-00-AA-01
AT4G24470	AT3G23730	1	AT-UU-RE-00-AA-01
AT4G21330	AT2G16910	1	AT-UU-RE-00-AA-01
AT4G20380	AT5G61900	1	AT-UU-RE-00-AA-01
AT4G20380	AT1G20630	1	AT-UU-RE-00-AA-01
AT4G20380	AT1G19250	1	AT-UU-RE-00-AA-01
AT4G20380	AT1G08830	1	AT-UU-RE-00-AA-01
AT4G18960	AT5G14010	1	AT-UU-RE-00-AA-01
AT4G18960	AT4G36920	1	AT-UU-RE-00-AA-01
AT4G18960	AT4G32980	1	AT-UU-RE-00-AA-01
AT4G24470	AT1G32170	1	AT-UU-RE-00-AA-01
AT4G24470	AT4G14130	1	AT-UU-RE-00-AA-01
AT4G18960	AT4G27330	1	AT-UU-RE-00-AA-01
AT4G25470	AT2G39030	1	AT-UU-RE-00-AA-01
AT4G25480	AT1G09350	1	AT-UU-RE-00-AA-01
AT4G25470	AT5G52310	1	AT-UU-RE-00-AA-01
AT4G25470	AT5G17490	1	AT-UU-RE-00-AA-01
AT4G25470	AT5G15960	1	AT-UU-RE-00-AA-01
AT4G25470	AT4G25490	1	AT-UU-RE-00-AA-01
AT4G25470	AT4G25480	1	AT-UU-RE-00-AA-01
AT4G25470	AT3G50970	1	AT-UU-RE-00-AA-01
AT4G25470	AT2G42540	1	AT-UU-RE-00-AA-01
AT4G25470	AT1G77120	1	AT-UU-RE-00-AA-01
AT4G24540	AT1G24260	1	AT-UU-RE-00-AA-01
AT4G25470	AT1G46768	1	AT-UU-RE-00-AA-01
AT4G25470	AT1G43160	1	AT-UU-RE-00-AA-01
AT4G25470	AT1G32640	1	AT-UU-RE-00-AA-01
AT4G25470	AT1G13260	1	AT-UU-RE-00-AA-01
AT4G25470	AT1G04240	1	AT-UU-RE-00-AA-01
AT4G24540	AT5G61850	1	AT-UU-RE-00-AA-01
AT4G24540	AT4G18960	1	AT-UU-RE-00-AA-01
AT4G24540	AT2G45660	1	AT-UU-RE-00-AA-01
AT4G18960	AT4G28520	1	AT-UU-RE-00-AA-01
AT4G18960	AT3G54340	1	AT-UU-RE-00-AA-01
AT4G25480	AT1G20450	1	AT-UU-RE-00-AA-01
AT4G08150	AT4G25420	1	AT-UU-RE-00-AA-01
AT4G09820	AT5G42800	1	AT-UU-RE-00-AA-01
AT4G09820	AT2G37260	1	AT-UU-RE-00-AA-01
AT4G09820	AT2G23580	1	AT-UU-RE-00-AA-01
AT4G09820	AT2G23550	1	AT-UU-RE-00-AA-01
AT4G09820	AT1G79840	1	AT-UU-RE-00-AA-01
AT4G09820	AT1G71030	1	AT-UU-RE-00-AA-01
AT4G09820	AT1G61720	1	AT-UU-RE-00-AA-01
AT4G08150	AT5G63090	1	AT-UU-RE-00-AA-01
AT4G04450	AT3G23430	1	AT-UU-RE-00-AA-01
AT4G09960	AT2G42830	1	AT-UU-RE-00-AA-01
AT4G02560	AT5G61850	1	AT-UU-RE-00-AA-01
AT4G02560	AT5G10140	1	AT-UU-RE-00-AA-01
AT4G02560	AT2G45660	1	AT-UU-RE-00-AA-01
AT4G01540	AT4G34160	1	AT-UU-RE-00-AA-01
AT4G01540	AT1G49620	1	AT-UU-RE-00-AA-01
AT4G01250	AT4G23550	1	AT-UU-RE-00-AA-01
AT4G01250	AT2G19190	1	AT-UU-RE-00-AA-01
AT4G00220	AT5G67260	1	AT-UU-RE-00-AA-01
AT4G09960	AT1G24260	1	AT-UU-RE-00-AA-01
AT4G09960	AT3G58780	1	AT-UU-RE-00-AA-01
